Pliegues,7 días sin información diaria,7 días con información diaria,14 días sin información diaria,14 días con información diaria
Pliegue 1,35.390190666892025,29.46289696072173,30.02039934716997,28.772567165598293
Pliegue 2,56.69840833703211,144.6437843616045,55.01699829697534,66.62451076534168
Pliegue 3,30.404022064814875,29.35039479342734,27.909992999890672,41.001745837869535
Pliegue 4,33.14779874550353,24.963642458858676,31.323627939537964,23.325312646436092
Pliegue 5,25.02418115261868,27.414430093426677,26.463736725672458,19.184173964113118
Pliegue 6,83.68488807697496,54.27020113023964,80.62834625328536,55.095825023911424
Pliegue 7,46.08327523355468,57.11977833679617,56.57365020389944,32.45177089306694
Pliegue 8,18.287308635795412,13.21101765044195,16.30531399612915,15.6749241136901
Pliegue 9,31.162123188760667,23.68757538973721,31.431833714402263,20.30896023196172
Pliegue 10,57.08864111450668,56.12199956594647,57.9764405672465,53.92054015681442
